City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,okha,53.5739,142.9478,1.89,86,3,3.15,RU,1727815311
1,limon,10.0,-83.0333,26.94,94,100,2.06,CR,1727815311
2,edinburgh of the seven seas,-37.0676,-12.3116,13.68,86,5,9.03,SH,1727815311
3,esil,51.9556,66.4042,12.06,58,87,5.19,KZ,1727815274
4,fortuna,40.5982,-124.1573,25.52,60,0,4.63,US,1727815311
5,hithadhoo,-0.6,73.0833,28.42,76,19,7.36,MV,1727815311
6,campbell river,50.0163,-125.2446,12.0,93,100,2.06,CA,1727815145
7,grytviken,-54.2811,-36.5092,-4.29,78,53,6.32,GS,1727815311
8,port mathurin,-19.6833,63.4167,22.41,84,28,9.24,MU,1727815312
9,ta`u,-14.2336,-169.5144,24.72,83,100,9.72,AS,1727815312
10,tughyl,47.7252,84.2063,11.53,34,100,0.44,KZ,1727815312
11,kisangani,0.5167,25.2,22.88,90,72,1.36,CD,1727815312
12,barcelos,41.5388,-8.6151,18.42,99,100,1.07,PT,1727815312
13,st. john's,47.5649,-52.7093,12.21,94,100,11.18,CA,1727815312
14,ribeira grande,38.5167,-28.7,24.87,94,75,7.72,PT,1727815312
15,bilibino,68.0546,166.4372,0.18,93,100,1.93,RU,1727815312
16,metro,-5.1131,105.3067,24.21,89,77,1.5,ID,1727815312
17,tazovsky,67.4667,78.7,1.87,97,100,6.7,RU,1727815312
18,lebu,-37.6167,-73.65,9.6,60,5,6.78,CL,1727815312
19,bethel,41.3712,-73.414,20.34,71,98,0.45,US,1727815312
20,i-n-salah,27.1935,2.4607,34.19,16,38,8.67,DZ,1727815313
21,daru,-9.0763,143.2092,25.66,87,53,7.53,PG,1727815313
22,pandhana,21.7,76.2167,25.33,82,11,2.57,IN,1727815313
23,palmer,42.1584,-72.3287,21.4,52,75,2.57,US,1727815313
24,susuman,62.7833,148.1667,-6.87,85,33,1.26,RU,1727815313
25,waitangi,-43.9535,-176.5597,12.68,84,100,3.58,NZ,1727815313
26,port-aux-francais,-49.35,70.2167,4.57,86,100,10.61,TF,1727815313
27,kone,-21.0595,164.8658,23.3,68,26,2.54,NC,1727815313
28,puerto natales,-51.7236,-72.4875,4.25,81,100,1.03,CL,1727815313
29,mokhsogollokh,61.4681,128.9203,1.69,98,100,1.54,RU,1727815313
30,adamstown,-25.066,-130.1015,19.73,66,96,5.04,PN,1727815313
31,papatowai,-46.5619,169.4708,8.87,97,100,1.91,NZ,1727815313
32,blackmans bay,-43.0167,147.3167,5.29,83,21,0.45,AU,1727815314
33,haiku-pauwela,20.9219,-156.3051,29.03,69,40,8.23,US,1727815314
34,lompoc,34.6391,-120.4579,26.96,47,12,5.66,US,1727815062
35,chania,35.5122,24.0156,31.6,82,20,0.0,GR,1727815314
36,yellowknife,62.456,-114.3525,4.2,99,75,5.81,CA,1727815042
37,invercargill,-46.4,168.35,10.01,95,100,1.34,NZ,1727815314
38,kapuskasing,49.4169,-82.4331,13.05,82,75,3.6,CA,1727815314
39,chonchi,-42.6128,-73.8092,8.04,69,58,3.49,CL,1727815314
40,puerto ayora,-0.7393,-90.3518,21.97,89,69,2.68,EC,1727815314
41,ulladulla,-35.35,150.4667,12.92,86,100,4.31,AU,1727815315
42,tarfaya,27.9358,-12.9218,22.41,81,100,6.64,MA,1727815315
43,ushuaia,-54.8,-68.3,0.81,51,75,6.17,AR,1727815305
44,sao joao da barra,-21.6403,-41.0511,26.05,80,0,9.79,BR,1727815163
45,lazaro cardenas,17.9583,-102.2,28.05,80,99,2.97,MX,1727815033
46,nova sintra,14.8667,-24.7167,27.58,83,58,4.52,CV,1727815315
47,panghyon-dong,39.8872,125.2414,6.1,74,0,2.23,KP,1727815315
48,mount gambier,-37.8333,140.7667,6.78,100,32,1.68,AU,1727815315
49,wailua homesteads,22.0669,-159.378,28.44,72,20,4.63,US,1727815315
50,sisimiut,66.9395,-53.6735,3.44,90,100,3.34,GL,1727815315
51,birjand,32.8663,59.2211,14.26,28,0,3.09,IR,1727815316
52,slonim,53.0867,25.3219,7.02,80,87,2.03,BY,1727815316
53,dudinka,69.4058,86.1778,1.81,95,100,1.5,RU,1727815316
54,nidadavole,16.9167,81.6667,25.07,91,65,2.4,IN,1727815316
55,krasnokamensk,50.0979,118.0369,1.17,82,4,3.74,RU,1727815316
56,lihue,21.9789,-159.3672,28.77,67,20,4.63,US,1727815316
57,margaret river,-33.95,115.0667,12.11,87,74,10.02,AU,1727815316
58,qaqortoq,60.7167,-46.0333,3.8,76,1,0.15,GL,1727815316
59,ukiah,39.1502,-123.2078,37.83,16,0,1.54,US,1727815131
60,bhadra,29.1167,75.1667,30.71,39,0,3.12,IN,1727815316
61,keflavik,64.0049,-22.5624,8.24,93,100,5.66,IS,1727815317
62,broome,42.2506,-75.833,20.85,58,0,3.6,US,1727815317
63,coquimbo,-29.9533,-71.3436,17.85,57,0,6.69,CL,1727815068
64,bredasdorp,-34.5322,20.0403,9.69,74,88,2.17,ZA,1727815317
65,prado,-17.3411,-39.2208,23.22,81,0,3.09,BR,1727815317
66,punta arenas,-53.15,-70.9167,3.06,56,75,3.6,CL,1727815317
67,cranbrook,49.4999,-115.7688,16.91,20,75,8.75,CA,1727815169
68,mabaruma,8.2,-59.7833,29.08,71,40,2.63,GY,1727815317
69,hinton,53.4001,-117.5857,10.45,61,100,0.94,CA,1727815317
70,galliano,29.4422,-90.2992,31.0,45,0,5.14,US,1727815318
71,turpan,42.9333,89.1667,16.9,23,0,1.36,CN,1727815318
72,albany,42.6001,-73.9662,21.43,59,100,1.34,US,1727815222
73,kruisfontein,-34.0033,24.7314,9.08,73,5,2.82,ZA,1727815318
74,remire-montjoly,4.9167,-52.2667,31.02,66,0,5.66,GF,1727815120
75,afif,23.9065,42.9172,27.24,18,80,4.16,SA,1727815318
76,kodiak,57.79,-152.4072,12.73,47,0,2.06,US,1727815318
77,nago,26.5881,127.9761,26.95,90,100,3.53,JP,1727815318
78,ust-nera,64.5667,143.2,-5.44,90,85,1.39,RU,1727815318
79,conduaga,8.862,117.4893,25.41,91,100,1.64,PH,1727815318
80,minas de marcona,-15.2119,-75.1103,16.17,65,0,8.05,PE,1727815319
81,labrador city,52.9463,-66.9114,15.95,50,0,5.66,CA,1727815319
82,longyearbyen,78.2186,15.6401,-3.09,80,75,3.09,SJ,1727815319
83,midvagur,62.0511,-7.1939,9.46,93,100,4.12,FO,1727815319
84,port lincoln,-34.7333,135.8667,13.89,82,0,6.97,AU,1727815319
85,hermanus,-34.4187,19.2345,10.45,75,99,4.84,ZA,1727815319
86,paris,48.8534,2.3488,12.86,81,40,3.6,FR,1727815177
87,aykol,38.1751,77.2132,15.35,42,97,0.34,CN,1727815319
88,enewetak,11.3474,162.3373,29.16,77,81,9.27,MH,1727815319
89,ust'-kut,56.7938,105.7672,8.98,91,100,5.63,RU,1727815319
90,hawaiian paradise park,19.5933,-154.9731,26.6,85,9,1.79,US,1727815319
